0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:10:43 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:10:51 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:10:52 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:10:52 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:10:57 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:14 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /boardStudy/css/mystyle.css HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /boardStudy/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /boardStudy/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /boardStudy/css/mystyle.css HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /boardStudy/css/mystyle.css HTTP/1.1" 200 710
